Peoples ,,,,,
id,name ,status,email ,phone_number,course_id
1,Sarah ,Training,s@spartaglobal.com,07837019346,c3
2,Joe,Pre-assignment,j@spartaglobal.com,07358108572,c1
3,Bill,Placement,b@spartaglobal.com,07529671926,c2
,,,,,
,,,,,
Courses,,,,,
id,name ,trainer_id,Module_id,,
c1,Data engineering ,t2,m1,,
c2,Java Development,t1,m2,,
c3,Data analyst ,t3,m3,,
,,,,,
,,,,,
Trainers,,,,,
id,name ,email,phone_number,,
t1,David,d@spartaglobal.com,07467289176,,
t2,Alan,a@spartaglobal.com,07294092578,,
t3,Paula,p@spartaglobal.com,07120989092,,
,,,,,
Modules,,,,,
id,name,,,,
m1,Data,,,,
m2,Development ,,,,
m3,Business intelligence ,,,,
,,,,,
Clients,,,,,
id,name,people_id,,,
cl1,Barclays ,3,,,
cl2,Apple,6,,,
cl3,Tesco,8,,,
